task_id,mec_id,distance_m,link_distance_3d_m,elevation_deg,los_probability,los_state,free_space_path_loss_db,path_loss_offset_db,path_loss_db,channel_gain,ul_rate_mbps,dl_rate_mbps,ul_available,dl_available,mec_available
1,1,1052.8534333468933,1059.6699260195796,6.502283374864112,0.059522189295945896,average_los_nlos,98.97179531533084,0.0,117.84087371870787,1.6440409398671188e-12,34.34546207629234,61.75482866816779,1,1,1
1,2,6561.38810202654,6562.485339062895,1.047754989527069,0.025761790789874315,average_los_nlos,114.80975005873105,0.0,134.32027603372345,3.698046745759402e-14,1.560326521726855,9.924945065468718,0,1,0
1,3,10864.759505410739,10865.422178195056,0.6327994631996087,0.024146894025385265,average_los_nlos,119.18931524686431,0.0,138.73052426038197,1.339514977560572e-14,0.5760727939300712,4.279033009021592,0,0,0
2,1,1583.5685204392312,1588.1087050092308,4.333489925486202,0.04281755495765098,average_los_nlos,102.48598766083695,0.0,121.67245411664159,6.803847773707706e-13,19.74930207540457,47.15985172087516,1,1,1
2,2,6898.390099273471,6899.433742109149,0.9965803707081583,0.025557084929828885,average_los_nlos,115.24465210130268,0.0,134.75906748763592,3.342668057242361e-14,1.4143872405022686,9.18336372210681,0,0,0
2,3,11251.866494212643,11252.506369853123,0.6110304357005374,0.024064956076976864,average_los_nlos,119.49336848430961,0.0,139.03613431884705,1.2484943120585086e-14,0.5373304818584634,4.01948189407105,0,0,0
3,1,1850.2131057235092,1854.1004656142647,3.710857540462468,0.03891560057134393,average_los_nlos,103.83104839454475,0.0,123.09165198368922,4.907211785044437e-13,15.575953130833446,41.93600647934998,1,1,1
3,2,6335.983431547794,6337.119696269604,1.085020456115461,0.025911861600380455,average_los_nlos,114.50622133933248,0.0,134.01389596892525,3.968353966481027e-14,1.6707839021270872,10.468472434232101,0,1,0
3,3,10668.271997314177,10668.946874395702,0.6444533465884946,0.02419087063700645,average_los_nlos,119.03081418679925,0.0,138.57118764469612,1.3895725793716782e-14,0.5973548545312074,4.420134125242563,0,0,0
4,1,1841.033632536274,1844.9403340297235,3.729307951896015,0.0390261617169503,average_los_nlos,103.78802964511168,0.0,123.04653257248961,4.958459185150225e-13,15.697997063204237,42.0999855133631,1,1,1
4,2,5361.266038031323,5362.608836242681,1.282224321028509,0.02672028945621359,average_los_nlos,113.05590552433318,0.0,132.5482200246651,5.5613214381055e-14,2.312355103112345,13.365344557421421,0,1,0
4,3,9674.395859830627,9675.140063725588,0.7106532605724845,0.02444216571276437,average_los_nlos,118.18152835257439,0.0,137.71712720403187,1.6915595040942834e-14,0.7253763452875953,5.247804057711435,0,0,0
5,1,786.2143565276896,795.3194417403921,8.678087796205086,0.08226898322066903,average_los_nlos,96.47921511509625,0.0,114.91610443390354,3.2239593450967625e-12,48.20047813306442,73.17263512967959,1,1,1
5,2,5327.408440481582,5328.759770501425,1.2903705714584919,0.026754207007753116,average_los_nlos,113.00090597421925,0.0,132.49257604107194,5.6330343025330096e-14,2.340868098230816,13.48501555729202,0,1,0
5,3,9579.238692325256,9579.990288332305,0.7177119334549015,0.02446911014365852,average_los_nlos,118.09568451146076,0.0,137.63077141873126,1.7255313660040303e-14,0.7397386428254683,5.338483839752414,0,0,0
6,1,4584.343645171205,4585.913939120708,1.4994346823429439,0.027639124756666873,average_los_nlos,111.69690114210077,0.0,131.1717577717241,7.635266897895641e-14,3.124572207221458,16.53044044275999,0,1,0
6,2,1457.815741126869,1462.7462989449955,4.70568900186773,0.045325788791455345,average_los_nlos,101.77176329372293,0.0,120.91057330668528,8.108540109699126e-13,22.27448163247044,50.013217871339684,1,1,1
6,3,5380.05485354342,5381.392963456219,1.2777478842526033,0.02670166926842599,average_los_nlos,113.08627726573934,0.0,132.57894554963923,5.5221149784135987e-14,2.296753389647879,13.299567242151044,0,1,0
7,1,4551.496870136372,4553.078492499464,1.5102506549670367,0.027685671829324018,average_los_nlos,111.63448588244495,0.0,131.10845811768777,7.747368049691045e-14,3.16775887418541,16.686091103964458,0,1,0
7,2,990.7564619291494,997.9971777787581,6.906001241248834,0.06324272963545853,average_los_nlos,98.45096939824819,0.0,117.24935753517448,1.8839277639494393e-12,36.98607502021158,64.05043738997844,1,1,1
